"tcell_line","cluster","Time","n","perc"
"CD4_TEG","9",2.53333333333333,62,12.6530612244898
"CD4_TEG","9",2.56666666666667,62,12.6016260162602
"CD4_TEG","9",2.6,63,12.8309572301426
"CD4_TEG","9",2.63333333333333,62,12.7835051546392
"CD4_TEG","9",2.66666666666667,60,12.6050420168067
"CD4_TEG","9",2.7,59,12.3949579831933
"CD4_TEG","9",2.73333333333333,59,12.4210526315789
"CD4_TEG","9",2.76666666666667,59,12.5799573560768
"CD4_TEG","9",2.8,58,12.3931623931624
"CD4_TEG","9",2.83333333333333,58,12.4731182795699
"CD4_TEG","9",2.86666666666667,60,12.7659574468085
"CD4_TEG","9",2.9,61,13.0620985010707
"CD4_TEG","9",2.93333333333333,61,13.1465517241379
"CD4_TEG","9",2.96666666666667,57,12.3376623376623
"CD4_TEG","9",3,59,12.7429805615551
"CD4_TEG","9",3.03333333333333,61,13.034188034188
"CD4_TEG","9",3.06666666666667,59,12.7155172413793
"CD4_TEG","9",3.1,58,12.5813449023861
"CD4_TEG","9",3.13333333333333,61,13.3187772925764
"CD4_TEG","9",3.16666666666667,60,13.1578947368421
"CD4_TEG","9",3.2,60,13.1578947368421
"CD4_TEG","9",3.23333333333333,60,13.0718954248366
"CD4_TEG","9",3.26666666666667,62,13.3047210300429
"CD4_TEG","9",3.3,65,14.0388768898488
"CD4_TEG","9",3.33333333333333,55,12.8205128205128
"CD4_TEG","9",3.36666666666667,49,18.0147058823529
"CD4_TEG","9",3.4,49,18.2156133828996
"CD4_TEG","9",3.43333333333333,51,18.75
"CD4_TEG","9",3.46666666666667,52,18.8405797101449
"CD4_TEG","9",3.5,54,18.9473684210526
"CD4_TEG","9",3.53333333333333,54,18.75
"CD4_TEG","9",3.56666666666667,53,18.3391003460208
"CD4_TEG","9",3.6,55,18.6440677966102
"CD4_TEG","9",3.63333333333333,58,19.3333333333333
"CD4_TEG","9",3.66666666666667,60,19.8675496688742
"CD4_TEG","9",3.7,58,19.3979933110368
"CD4_TEG","9",3.73333333333333,57,19.3877551020408
"CD4_TEG","9",3.76666666666667,57,19.1275167785235
"CD4_TEG","9",3.8,57,19.0635451505017
"CD4_TEG","9",3.83333333333333,58,19.6610169491525
"CD4_TEG","9",3.86666666666667,56,18.9189189189189
"CD4_TEG","9",3.9,56,18.9830508474576
"CD4_TEG","9",3.93333333333333,57,19.1919191919192
"CD4_TEG","9",3.96666666666667,57,19.3220338983051
"CD4_TEG","9",4,58,19.7952218430034
"CD4_TEG","9",4.03333333333333,59,20.2054794520548
"CD4_TEG","9",4.06666666666667,57,19.7231833910035
"CD4_TEG","9",4.1,59,20.2054794520548
"CD4_TEG","9",4.13333333333333,59,19.9324324324324
"CD4_TEG","9",4.16666666666667,61,20.5387205387205
"CD4_TEG","9",4.2,64,21.4046822742475
"CD4_TEG","9",4.23333333333333,62,21.0169491525424
"CD4_TEG","9",4.26666666666667,62,20.9459459459459
"CD4_TEG","9",4.3,65,21.8855218855219
"CD4_TEG","9",4.33333333333333,63,21.0702341137124
"CD4_TEG","9",4.36666666666667,63,21.1409395973154
"CD4_TEG","9",4.4,62,20.8053691275168
"CD4_TEG","9",4.43333333333333,64,21.5488215488216
"CD4_TEG","9",4.46666666666667,62,21.0884353741497
"CD4_TEG","9",4.5,61,20.6779661016949
"CD4_TEG","9",4.53333333333333,60,20.2020202020202
"CD4_TEG","9",4.56666666666667,59,19.7986577181208
"CD4_TEG","9",4.6,60,20.066889632107
"CD4_TEG","9",4.63333333333333,61,20.4697986577181
"CD4_TEG","9",4.66666666666667,61,20.6081081081081
"CD4_TEG","9",4.7,60,20.7612456747405
"CD4_TEG","9",4.73333333333333,59,20.4861111111111
"CD4_TEG","9",4.76666666666667,58,20.3508771929825
"CD4_TEG","9",4.8,60,20.7612456747405
"CD4_TEG","9",4.83333333333333,59,20.4861111111111
"CD4_TEG","9",4.86666666666667,59,20.1365187713311
"CD4_TEG","9",4.9,59,20.2054794520548
"CD4_TEG","9",4.93333333333333,59,20.1365187713311
"CD4_TEG","9",4.96666666666667,59,19.8653198653199
"CD4_TEG","9",5,61,20.1320132013201
"CD4_TEG","9",5.03333333333333,61,19.9346405228758
"CD4_TEG","9",5.06666666666667,59,19.7324414715719
"CD4_TEG","9",5.1,60,19.8019801980198
"CD4_TEG","9",5.13333333333333,60,19.9335548172757
"CD4_TEG","9",5.16666666666667,57,19.0635451505017
"CD4_TEG","9",5.2,57,19.2567567567568
"CD4_TEG","9",5.23333333333333,54,18.0602006688963
"CD4_TEG","9",5.26666666666667,54,18.2432432432432
"CD4_TEG","9",5.3,55,18.5810810810811
