"behavioral_cluster","exp_condition","count","cluster_proportion"
"1","nonengager",8369,4.94212826266682
"2","nonengager",9533,5.62950277548128
"3","nonengager",12046,7.11349946852486
"4","nonengager",5154,3.04358096137947
"5","nonengager",13571,8.01405456478092
"6","nonengager",10608,6.2643203023503
"7","engager",1748,1.03224282508563
"7","nonengager",26944,15.9111845990315
"8","engager",10508,6.20526750915318
"8","nonengager",31536,18.6228888626432
"9","engager",33862,19.9964568324082
"9","nonengager",5461,3.22487303649463
