gene_name	A3	A5	A8	A10	A14	A16	A17	A19	A20	A21	A22	A24	B3	B4	B7	B8	B9	B11	B14	B15	B20	B23	B24	C2	C3	C4	C5	C7	C8	C12	C13	C14	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D12	D14	E1	E2	E3	E4	E5	E6	E9	E14	F1	F2	F3	F4	F5	F6	F8	F9	F10	G1	G2	G5	G6	G7	G8	G9	G10	H1	H3	H5	H6	H7	H10	H12	I1	I4	I11	J1	J4	J6	J7	J8	J11	K1	K2	K3	K5	K6	K11	L2	L3	L4	L5	L6	L7	L8	L13	M1	M3	M6	M7	N3	N5	N6	N7	N9	O3	O5	O6	O10	P3	P7	P8
MAD1L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LASP1	0	0	3	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0	1	2	5	0	0	0	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	15	0	0	1	0	0	0	0	1	0	0	3	0	1	0	1	0	3	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	1	0	7	0	0	3	0	8	0	0	0	0	0	1	0
SNX11	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
M6PR	0	0	0	0	0	1	2	3	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	2	1	1	0	0	0	3	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	5	0	2	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	2	2	1	1	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0
ICA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DBNDD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ALS2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	1
CASP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFLAR	6	2	9	4	1	0	9	2	10	0	4	2	1	3	4	2	1	0	2	4	0	0	1	13	0	1	0	4	0	1	3	5	0	2	3	0	10	3	5	6	0	18	1	6	0	5	3	5	2	6	2	0	6	0	5	5	1	1	4	0	6	9	0	8	14	1	1	10	13	2	0	0	13	5	6	2	2	2	6	9	9	5	1	5	3	3	11	3	5	9	3	3	2	3	2	10	2	6	15	0	0	4	4	12	4	1	1	34.1	6	1	7	0	1	4	4
TFPI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
