gene_name	A2	A3	A7	A8	A9	A10	A14	A16	A17	A24	B4	B5	B6	B7	B9	B10	B14	B15	B16	B17	C1	C2	C3	C4	C5	C6	C10	C11	C12	C13	C16	C17	C18	D2	D5	D6	D7	D8	D11	D13	D14	D15	D22	E3	E5	E6	E7	E8	E9	E12	E16	E18	F2	F3	F4	F6	F7	F9	F10	F12	F13	F15	F16	G1	G2	G4	G5	G8	G9	G12	G13	G14	G18	H2	H3	H4	H5	H6	H7	H9	H10	H11	H12	H13	H14	H16	I1	I3	I6	I7	I8	I9	I10	I11	I12	I14	I15	I24	J2	J3	J5	J6	J7	J9	J14	K1	K2	K3	K6	K7	K8	K10	K11	K12	K13	K14	K15	K16	L1	L2	L3	L4	L5	L6	L7	L8	L10	L12	L14	M2	M3	M4	M5	M6	M7	M8	M9	M10	M15	N3	N4	N5	N6	N7	N8	O1	O9	O11	O12	P4	P7
LASP1	0	0	0	0	0	2	1	0	0	0	1	0	1	1	2	0	0	1	0	0	1	2	0	2	0	2	0	0	0	1	0	2	0	0	0	1	1	3	2	1	1	1	0	1	0	2	2	2	0	0	0	2	1	4	2	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	1	1	1	4	3	0	0	0	1	0	1	0	0	4	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	2	0	0	1	4	4	1	0	3	1	0	0	0	1	4	2	1	0	2	3	0	5	1	0	1	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
SNX11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0
M6PR	2	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	0	1	2	0	0	0	0	0	0	4	0	0	0	1	2	3	1	1	2	0	0	1	0	1	0	0	0	1	0	0	1	0	0	3	0	2	2	4	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	5	2	0	1	0	1	0	0	1	3	0	2	0	0	3	1	1	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	1	2	0	2	0	3	1	0	0	0	1	1	0	2	3	2	1	0	0	3	1	0	1	0	3	2	2	0	3	0	0	0	1	2	0	3	2	1	2	0	0	0
DBNDD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALS2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CASP10	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	4	6	0	0	1	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	1	1	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1
CFLAR	1	7	0	5	0	2	0	0	0	0	2	1	8	2	1	0	10	3	5	3	3	1	6	11	0	1	4	0	1	4	3	4	4	5	6	10	10	0	0	2	2	2	0	2	0	2	1	2	0	1	2	4	1	4	10	0	5	1	0	0	1	3	0	5	1	5	3	0	0	1	6	4	1	0	0	1	9	2	5	8	4	32.1	3	1	4	0	9	2	1	3	6	3	0	3	16	2	11	0	0	1	8	1	7	6	2	3	10	5	3	5	8	5	2	5	3	8	1	7	14	1	3	1	1	1	4	5	0	8	2	19	1	2	2	20	4	9	1	3	2	0	3	0	1	0	6	6	1	0	1	1	3
NDUFAF7	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	2	0	0	0	2	0	0	1	0	0	1	0	1	0	0	1	0	0
SLC7A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SARM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
POLDIP2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	3	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PLXND1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AK2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	2	1	0	1	0	2	1	0	3	2	1	2	0	1	8	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	1	0	3	0	0	2	2	1	0	4	0	0	2	0	0	1	0	0	4	0	0	0	0	0	1	0	1	0	4	0	4	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0	2	0	0	0	1	0	0	2	2	0	2	0	0	3	0	1	2	0	0	1	1	1	3	4	0	2	1	1	0	4	1	2	0	0	0	5	2	4	0	4	0	5	0	0	0	2	0	0	3	0	0	2	0	0	0	1	2
CD38	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	3	0	3	3	0	1	2	0	0	0	0	0	1	2	1	3	0	1	0	0	2	0	0	1	1	0	0	0	0	0	4	2	3	0	0	0	0	0	0	0	1	0	2	4	1	0	1	5	0	0	1	0	0	0	0	0	1	0	0	0	0	2	5	0	0	0	0	3	1	2	0	0	0	0	3	1	0	0	2	0	4	3	3	0	0	4	0	1	0	0	1	1	0	4	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	1	2	2	1
FKBP4	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	1	0	0	2	1	0	0	0	0	0	1	4	1	0	0	0	0	0	0	1	0	0	0	0	1	0	3	1	0	0	0	0	0	9	2	0	0	3	0	0	4	1	0	2	0	1	0	0	0	0	2	0	0	3	1	0	4	0	5	2	0	0	0	2	0	0	1	0	3	0	0	0	0	2	5	0	0	0	0	0	1	1	0	0	2	2	0	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0	0	1	1	1	1	0	0	0	0	1	3	9	2	3	0	0	1	0	0	1	2	6	2	0	0	0	0	0	0
KDM1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM6	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	1	2	2	0	0	0	0	1	0	1	0	0	2	0	1	1	0	2	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0	0	2	2	0	3	1	2	0	0	1	0	0	0	2	0	1	0	0	0	1	2	0	0	0	0	0	2	1	0	1	1	2	3	3	0	0	0	3	3	0	1	1	0	2	0	1	0
CAMKK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RECQL	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	4	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	3	0	0	0	3	1	0	0	3	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0
VPS50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
