gene_name	A1	A2	A3	A4	A5	A6	A8	A9	A10	A12	A13	A14	A17	A19	A20	A23	B1	B2	B3	B4	B5	B6	B7	B9	B10	B12	B13	B14	B16	B17	B19	B21	B22	B23	B24	C1	C2	C3	C4	C5	C6	C7	C9	C11	C12	C15	C16	C17	C18	C19	C20	C21	C24	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	D13	D14	D16	D17	D18	D19	D20	D21	D22	D23	D24	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E16	E17	E18	E19	E20	E21	E22	E23	E24	F1	F2	F4	F5	F6	F7	F8	F10	F11	F12	F13	F15	F16	F17	F18	F19	F20	F22	F23	F24	G1	G2	G3	G4	G5	G6	G7	G8	G9	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	H1	H2	H3	H5	H6	H7	H9	H10	H11	H12	H13	H14	H15	H16	H17	H18	H19	H20	H21	H22	H23	H24	J2	L11	P6
ZNF264	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	1	0	0	5	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
RPS5	4	0	5	5	1	3	3	2	1	3	10	17	4	4	0	12	2	4	10	6	6	0	1	2	8	6	8	6	2	6	6	9	4	0	3	6	3	2	7	7	0	6	19	0	2	2	2	7	12	5	0	7	8	16	6	14	10	3	9	3	3	7	6	5	1	11	20	8	2	8	6	1	15	4	2	15	2	5	8	6	3	4	4	2	11	8	3	6	4	5	14	8	35.2	4	13	21.1	7	2	1	8	6	8	8	2	6	12	8	5	10	7	1	2	6	4	11	8	4	7	2	3	8	2	3	4	9	4	12	15	4	3	6	5	8	14	7	8	7	10	3	11	5	4	11	4	11	21.1	4	6	7	13	5	9	15	5	9	4	4	3	0	4	14	3	10	1	0	0	0
YTHDC1	0	0	2	0	0	6	0	1	0	0	1	0	3	0	0	0	0	2	1	2	0	0	0	0	2	0	0	0	0	1	0	0	5	0	2	2	0	1	0	2	0	2	1	0	0	0	0	0	0	0	0	1	1	0	3	1	2	0	0	2	3	0	1	0	2	2	2	0	0	0	0	0	0	0	0	2	1	4	4	0	0	1	1	0	3	1	1	0	0	0	3	0	0	0	0	1	1	0	1	1	0	0	0	0	2	0	3	3	1	0	0	0	1	0	1	2	1	0	0	2	0	0	1	1	2	1	2	2	0	3	1	0	0	0	1	1	0	0	0	0	0	1	3	0	1	2	0	0	2	2	1	0	1	1	0	1	3	0	0	0	0	1	0	0	0	0	0
CHMP2B	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	4	0	1	0	0	1	1	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
SMAP2	1	0	1	3	0	2	0	0	0	1	4	12	1	4	1	4	6	3	6	3	6	0	0	1	0	16	1	2	0	2	2	0	2	0	2	5	1	0	0	2	0	6	1	2	1	3	1	4	6	0	0	14	5	4	4	1	0	0	4	3	3	2	2	4	1	2	16	3	2	2	8	4	1	2	0	2	6	8	11	2	4	0	4	0	2	4	0	0	2	1	14	6	9	4	3	10	2	0	2	2	1	4	5	2	3	2	1	6	4	3	0	0	5	1	1	1	4	1	3	3	6	1	8	1	3	3	5	13	3	9	7	5	3	5	5	7	2	0	3	1	4	3	0	4	8	5	3	3	0	2	3	4	2	3	3	2	1	4	0	0	2	0	1	0	0	0	0
PPIE	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	2	0	0	0	2	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	1	1	0	0	1	0	6	0	0	0	3	0	1	0	0	0	3	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	3	7	0	0	2	0	0	0	0	1	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ZMPSTE24	0	1	1	0	0	1	0	0	0	3	5	5	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	2	2	0	0	0	3	0	0	1	0	0	4	0	0	2	0	0	3	0	0	2	2	1	3	1	0	0	0	1	0	0	0	0	0	0	4	2	0	0	0	5	0	0	0	0	2	1	0	0	2	0	3	1	1	1	2	0	0	0	1	0	2	1	2	1	2	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	1	0	0	1	0	0	2	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0
STARD7	2	0	0	1	1	0	3	4	0	1	2	8	2	1	0	1	2	3	4	2	2	0	1	1	0	4	2	0	0	2	1	2	0	0	2	0	0	2	1	1	0	1	3	1	0	1	0	1	2	0	0	1	4	1	3	1	3	0	1	0	0	0	1	1	0	0	3	0	0	3	1	2	2	1	0	0	0	1	0	6	0	2	0	0	1	2	0	1	1	3	8	0	6	1	0	3	0	2	0	0	0	0	0	2	6	2	4	2	2	0	2	0	1	3	1	0	0	3	0	0	2	2	2	2	6	4	2	3	5	5	1	3	3	0	2	5	0	0	0	5	1	2	1	0	7	2	2	0	1	3	2	3	5	1	1	1	1	1	2	2	4	0	1	0	0	0	0
NOA1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	1	0	2	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
REST	0	1	2	1	0	5	0	0	0	2	3	3	0	3	0	6	0	2	0	0	1	1	0	1	1	1	7	0	0	3	2	1	0	0	4	0	1	0	3	0	0	3	6	0	0	0	0	1	1	1	0	0	1	0	7	4	0	0	0	3	3	3	2	9	1	1	9	2	1	2	2	2	0	0	1	2	0	2	5	0	0	2	1	0	1	6	2	2	1	1	4	0	6	1	4	3	0	1	1	3	1	0	6	2	2	2	3	2	2	2	0	0	3	1	4	0	0	0	0	1	2	0	4	0	0	0	1	1	3	3	3	0	5	1	6	6	2	1	2	2	0	0	0	0	7	6	3	4	5	1	2	3	0	1	2	0	3	0	0	3	1	2	3	0	0	0	0
HAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSH1	0	0	0	1	0	0	0	0	0	3	2	1	0	1	0	2	0	0	1	5	0	0	0	1	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	2	0	1	1	0	1	3	0	1	2	1	0	0	0	5	1	2	2	0	0	0	1	3	1	0	0	0	0	0	0	0	1	2	1	1	1	0	1	2	2	0	2	2	0	0	0	0	1	1	0	0	0	0	2	0	2	0	1	1	0	5	1	0	0	0	0	0	0	0	7	0	0	1	0	3	0	0	1	0	1	0	1	0	4	0	1	2	0	0	2	0	3	1	3	1	0	0	0	1	0	2	1	1	0	1	1	2	0	0	3	2	0	0	1	2	0	1	0	0	0	0
GSTP1	0	0	0	0	0	1	0	0	0	0	3	6	3	1	0	2	1	2	0	0	0	0	0	0	0	4	3	4	0	0	1	2	2	0	1	0	0	0	1	0	0	0	3	0	0	2	0	0	0	1	0	3	1	1	1	1	2	0	1	0	0	2	2	2	0	0	9	5	0	0	2	1	0	0	0	2	1	0	1	2	0	0	0	1	2	4	3	0	1	0	0	0	4	2	0	2	0	0	0	7	0	0	3	0	3	3	7	0	2	0	2	0	0	2	1	3	0	0	1	0	1	0	3	0	0	1	1	3	1	2	1	1	1	2	2	1	2	0	3	0	2	0	1	2	7	2	1	1	5	0	2	2	3	0	3	1	2	2	1	5	1	0	1	0	0	0	0
APLP2	0	0	1	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	5	0	0	3	1	0	1	0	0	0	0	2	4	1	0	0	0	1	0	0	0	0	2	0	1	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	2	0	1	2	0	0	0	0	0	1	2	0	3	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	4	0	0	1	0	0	0	2	0	0	0	1	0	3	0	0	0	5	0	0	1	0	1	0	2	0	0	1	1	1	1	0	0	0	0
FAM234B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBP11	0	1	2	0	0	3	1	1	0	0	0	5	3	1	0	2	3	0	0	0	0	0	0	1	2	3	1	0	0	0	0	3	1	0	2	0	0	1	0	0	0	2	5	0	0	0	0	3	0	4	0	2	0	2	1	2	0	0	0	0	0	0	0	0	0	0	6	1	1	0	2	1	0	0	0	0	1	0	3	1	0	0	0	5	1	1	2	2	0	4	0	1	2	0	2	3	0	0	0	0	0	2	2	1	3	1	1	0	2	1	1	0	3	1	0	1	3	2	0	0	1	0	1	2	3	0	1	0	0	4	2	2	4	2	0	1	0	0	0	0	3	1	3	0	0	1	0	2	1	2	0	2	1	0	0	1	1	0	0	0	3	0	1	0	0	0	0
EIF3I	0	1	0	0	0	2	0	1	0	0	1	2	2	0	1	0	2	0	1	4	2	0	0	2	2	0	1	1	0	1	0	1	0	0	1	1	0	1	0	0	0	2	4	0	1	1	1	1	0	1	0	4	1	1	1	3	0	0	1	3	0	1	1	3	0	0	1	0	0	1	3	1	3	1	2	2	2	1	2	3	1	3	2	0	3	6	1	0	2	2	1	1	2	4	2	3	1	0	3	1	0	5	2	0	2	3	1	2	4	0	1	0	5	3	0	0	0	1	0	1	2	1	3	2	2	4	0	0	1	1	2	2	3	4	4	3	3	0	1	7	1	1	0	0	4	3	2	4	3	1	1	1	1	2	5	2	1	5	1	5	2	0	0	0	0	0	0
TXLNA	0	0	0	0	1	1	0	1	1	1	2	3	0	3	0	0	2	2	0	0	0	0	0	0	1	3	3	0	0	2	1	1	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	2	1	0	1	1	1	0	4	0	0	0	0	0	0	1	1	1	0	0	3	1	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	3	0	2	0	0	1	0	1	5	4	0	3	0	0	0	0	0	1	0	0	1	1	1	1	3	0	0	0	1	2	1	0	0	0	1	1	2	1	2	0	1	1	0	0	0	2	0	0	0	0	0	3	0	0	0	1	1	0	0	8	0	1	1	0	0	0	0	0	2	1	0	0	3	2	0	2	0	1	0	0	0	0	0
NCOA1	0	0	0	2	0	5	0	1	0	1	0	4	1	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	6	0	0	3	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4	0	1	0	2	1	0	3	1	0	0	1	1	0	0	3	0	3	0	0	0	0	0	0	0	1	0	1	1	0	0	4	4	0	0	1	2	0	0	0	0	0	2	1	3	0	0	0	1	1	0	0	3	0	1	2	2	2	1	0	5	0	3	1	0	2	2	2	1	0	1	0	1	2	2	3	1	1	0	1	2	0	0	0	0	0	1	0	0	0
AGBL5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	3	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB10	1	0	0	0	2	0	0	1	0	0	4	5	2	1	1	2	0	4	8	0	2	0	0	0	1	0	3	0	0	0	0	2	1	1	0	0	0	0	0	4	0	3	4	1	2	0	0	0	2	2	0	3	0	2	0	3	3	0	1	2	3	0	2	1	0	1	1	0	2	0	1	3	1	1	0	0	2	0	1	1	2	0	2	3	1	7	2	2	1	0	2	0	1	5	1	1	0	0	0	2	1	1	4	0	5	5	1	1	2	1	1	0	0	2	1	0	0	1	0	4	6	0	2	0	1	2	4	0	2	1	2	7	4	3	3	2	3	0	1	4	1	0	0	2	1	0	1	1	1	2	0	6	2	1	0	3	0	1	2	0	3	0	1	0	0	0	0
HADHA	1	0	2	0	0	6	1	0	0	1	2	7	0	1	0	1	7	0	2	1	0	0	0	1	1	2	1	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	1	4	0	0	2	2	0	2	1	0	2	1	0	0	0	0	0	2	2	4	1	1	4	1	0	2	1	2	1	1	1	0	0	1	3	5	0	1	1	1	0	0	2	1	1	1	6	1	2	0	2	1	0	1	1	0	1	0	0	1	1	1	2	1	3	3	0	0	0	0	3	0	2	1	0	0	7	0	0	0	0	1	0	1	0	1	1	2	1	5	5	3	10	2	1	0	0	4	0	3	4	4	3	2	9	1	2	1	4	1	1	2	3	0	0	3	1	0	1	0	0	0	0
MAPRE3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAD	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CD59	1	1	4	0	0	2	6	1	0	1	4	7	0	3	0	6	3	0	7	1	4	1	0	2	6	0	9	1	2	3	0	7	3	0	0	5	1	6	1	6	0	5	16	0	2	5	3	3	2	0	0	1	15	7	15	8	8	0	3	9	3	8	1	9	4	4	6	2	3	0	2	2	0	0	2	0	0	0	1	6	3	10	2	0	7	15	3	2	2	9	31.1	8	4	4	0	0	0	5	2	4	1	7	5	1	0	0	0	6	4	4	1	0	2	0	8	3	0	2	6	14	1	0	3	7	6	1	7	18	2	6	6	7	0	2	5	6	5	2	2	2	7	4	1	1	10	1	2	3	7	9	3	11	5	1	11	1	7	5	1	6	0	6	3	0	0	0	0
CD82	2	0	1	0	1	10	0	1	0	2	5	10	1	15	0	5	6	5	3	0	7	0	0	0	21.1	15	10	0	0	7	2	4	0	0	1	2	2	0	5	3	0	2	14	0	2	1	0	5	13	4	0	12	2	5	1	13	7	3	2	0	3	1	0	12	1	4	28.1	9	1	4	6	5	3	1	1	0	1	0	7	4	8	0	4	4	16	19	5	0	1	6	9	15	18	4	2	19	2	0	2	1	1	3	10	1	8	17	10	2	16	2	7	1	30.1	8	1	0	1	1	3	3	4	2	9	1	0	1	3	3	2	8	17	5	8	19	23.1	17	3	0	2	14	3	5	1	13	12	17	9	3	7	6	4	0	5	0	1	4	1	4	9	1	11	2	10	1	0	0	0
BCORL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
ATRX	1	0	4	7	0	1	0	0	0	2	0	4	2	0	0	5	2	5	5	1	0	0	0	6	2	10	2	3	0	1	2	3	3	0	2	2	1	4	1	4	0	7	8	0	0	5	0	7	1	3	0	0	8	9	2	10	7	0	1	2	1	6	6	3	0	13	6	1	2	4	5	3	1	0	1	4	3	16	3	2	0	9	1	1	2	7	1	1	1	7	13	0	4	3	1	5	3	0	0	3	1	5	1	1	8	7	4	0	0	3	2	0	2	0	4	2	1	2	4	6	4	2	3	2	1	1	1	5	0	4	0	6	0	1	2	2	1	1	0	2	1	5	1	7	4	1	0	2	4	5	8	6	2	1	0	1	6	1	1	0	3	1	7	0	0	0	0
AK6	0	0	0	1	0	0	0	0	0	1	0	2	0	0	1	2	0	0	0	1	0	0	1	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	1	4	1	4	0	0	0	0	1	0	0	2	0	1	0	0	2	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	1	0	3	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	4	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
MYNN	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	2	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MECOM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCAMP1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PREP	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	4	0	1	0	0	0	1	0	0	0	1	1	0	4	0	0	2	0	0	0	1	4	0	2	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	2	0	2	0	1	0	1	3	0	1	0	0	0	0	1	0	4	0	0	1	1	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	1	1	2	0	2	0	1	0	0	0	0	0	0
HACE1	1	0	0	2	0	0	1	0	0	0	0	1	2	3	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0
SEH1L	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	1	0	0	2	2	0	2	0	0	2	0	0	0	0	1	0	0	1	0	6	0	0	2	0	0	0	0	0	0	4	0	0	1	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	2	0	0	0	0	2	1	1	0	0	1	1	0	2	0	0	0	0	0	0	1	2	3	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
WDR47	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
WDFY1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0
OVGP1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
