gene_name	A1	A2	A3	A4	A5	A6	A8	A9	A10	A12	A13	A14	A17	A19	A20	A23	B1	B2	B3	B4	B5	B6	B7	B9	B10	B12	B13	B14	B16	B17	B19	B21	B22	B23	B24	C1	C2	C3	C4	C5	C6	C7	C9	C11	C12	C15	C16	C17	C18	C19	C20	C21	C24	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	D13	D14	D16	D17	D18	D19	D20	D21	D22	D23	D24	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E16	E17	E18	E19	E20	E21	E22	E23	E24	F1	F2	F4	F5	F6	F7	F8	F10	F11	F12	F13	F15	F16	F17	F18	F19	F20	F22	F23	F24	G1	G2	G3	G4	G5	G6	G7	G8	G9	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	H1	H2	H3	H5	H6	H7	H9	H10	H11	H12	H13	H14	H15	H16	H17	H18	H19	H20	H21	H22	H23	H24	J2	L11	P6
ENPP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFTR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKIB1	0	0	1	2	0	1	0	0	0	1	1	0	2	1	0	1	0	1	0	0	2	0	0	0	0	0	1	1	0	4	0	0	1	0	0	1	2	0	1	1	0	2	2	0	0	0	0	0	3	0	0	1	0	1	3	0	1	0	0	5	0	0	2	0	0	3	0	0	3	1	1	0	0	0	0	0	0	2	2	0	0	1	0	0	2	0	0	2	0	7	6	0	0	0	1	2	0	0	0	6	2	1	2	1	1	0	0	0	1	3	3	0	3	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	4	0	0	1	0	2	0	1	1	0	2	2	2	0	0	1	6	2	1	4	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0
KRIT1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	2	0	1	1	0	0	6	0	0	0	0	1	0	0	0	0	0	0	1	3	0	1	0	0	1	0	5	0	0	0	0	0	2	0	0	2	1	1	2	1	1	0	4	0	0	1	1	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	2	2	0	0	1	0	0	1	1	0	2	0	1	1	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	4	1	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
RAD52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0
LAP3	0	0	0	1	0	2	0	1	0	0	1	2	0	0	0	1	2	0	2	0	4	0	0	0	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	3	0	1	0	3	0	0	1	0	1	0	5	1	0	1	3	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	4	0	0	1	0	1	1	1	0	0	0	1	0	0	0	3	1	0	1	0	0	0	2	1	1	0	1	2	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	4	0	0	2	0	3	0	6	3	3	0	4	0	0	0	0	0	1	2	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	4	3	0	0	0	0	0
CD99	4	2	6	1	2	5	2	2	0	3	7	12	4	2	0	11	4	3	7	2	8	3	1	1	7	2	6	4	4	15	1	6	6	0	4	2	11	3	4	2	0	9	10	4	1	5	3	4	9	7	0	9	6	10	27.1	3	5	0	0	4	1	3	8	1	2	7	8	4	3	3	4	4	9	0	1	4	4	9	5	8	6	5	3	1	11	7	8	7	4	6	7	6	7	7	8	6	1	1	4	4	1	4	7	1	6	10	17	5	5	3	0	0	6	6	8	5	2	2	8	11	2	2	1	2	9	4	7	10	4	6	3	18	5	7	5	7	4	9	5	5	5	10	1	7	22.1	12	6	3	1	17	3	4	4	1	6	8	6	1	5	3	6	3	6	1	0	0	0
HS3ST1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAD1L1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	5	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
LASP1	0	0	0	3	0	4	0	1	1	3	0	0	1	0	0	3	2	2	4	0	1	0	0	1	0	1	4	3	1	1	2	1	0	0	5	2	0	1	1	1	0	3	5	0	0	1	1	2	4	1	1	9	6	2	2	1	5	1	3	6	5	0	2	3	1	5	2	2	1	1	0	1	0	1	0	1	1	5	9	1	0	5	1	1	2	0	1	3	4	5	6	0	4	3	1	8	0	0	1	0	0	2	3	0	3	0	2	0	2	3	1	0	0	0	2	3	1	0	1	1	1	0	1	1	2	1	1	3	0	0	2	9	4	4	0	5	5	1	2	4	0	0	0	1	3	2	1	3	3	3	4	1	4	1	1	4	3	1	0	2	3	1	0	0	0	0	0
SNX11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2	0	0	0	1	0	0	0	2	2	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
M6PR	0	0	0	2	2	2	0	1	0	1	2	4	1	2	0	3	2	4	3	1	2	0	0	4	3	0	4	2	0	0	2	3	3	2	2	1	0	3	1	0	0	1	2	1	1	2	0	1	1	1	0	8	1	3	3	2	2	0	6	3	3	1	1	0	2	1	3	1	1	1	0	1	2	0	1	2	1	1	5	1	1	2	0	0	3	6	2	2	2	1	7	0	1	7	4	2	0	1	5	3	1	1	4	1	2	2	4	4	6	2	0	0	1	0	0	1	1	0	0	0	2	0	0	0	2	0	1	2	2	4	6	12	3	1	0	4	4	1	4	4	2	0	2	7	6	4	0	0	3	8	0	3	1	1	3	2	7	2	1	12	6	5	2	1	0	0	0
ICA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
